schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,block_exponent,block_threads,sm_count,particle_blocks_per_sm,light_blocks_per_sm,heavy_blocks_per_sm,heavy_reduction_enabled,particle_path,particle_count,particle_capacity,particle_utilisation,pretransport_particle_count,base_particle_count,injected_particle_count,removed_particle_count,injection_fraction,source_residual_mass,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_i2,occupancy_imax,heavy_threshold,heavy_tile_particles,heavy_cell_count,heavy_particle_count,heavy_cell_fraction,heavy_particle_fraction,heavy_task_count_estimate,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
3,"k32_pair05_o3_E2","K32_E2_B64",109409,10,0.11500051000000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4137279,4338075,0.9537131100776266,4137279,4137192,87,0,2.1028313536505514e-05,8.4735078680052891e-11,4137279,3046,0,544.37881578947372,4154.4398242056614,7.6315236811351195,0,2000,4500,352500,59.240153695726121,647.52703407239392,9088,9088,12,461000,0.0015789473684210526,0.11142589126814992,61,1,0,0,0x0000000000000000,-1,-1,69.3995514,0.429055989,0.0993279964,0.0337920003,0.431104004,11.4718714,1.03219199,11.3571844,3.91987205,0.428032011,1.87596798,11.2783356,26.9977608,0.0245760009
3,"k32_pair05_o3_E2","K32_E2_B64",109409,20,0.11500101000000003,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4137627,4338075,0.95379332999083699,4137628,4137541,87,1,2.1026539843601213e-05,9.077902139467074e-11,4137627,3054,0,544.4246052631579,3984.586774302602,7.3188954646467108,0,2000,4500,336504,54.566230822426185,618.09109424314954,9088,9088,12,459500,0.0015789473684210526,0.11105399302547088,61,1,0,0,0x0000000000000000,-1,-1,67.3249283,0.367615998,0.131072,0.0307199992,0.425983995,10.8779516,1.03731203,11.3694715,3.95571208,0.431104004,1.86368001,10.9701118,25.8037758,0.0236479994
3,"k32_pair05_o3_E2","K32_E2_B64",109409,30,0.11500151000000004,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4137496,4338075,0.95376313226488707,4137496,4137408,88,0,2.1268902737307782e-05,9.7608854898572087e-11,4137496,3044,0,544.40736842105264,3677.2715037029434,6.7546321321258969,0,2000,4500,304501,46.625055240347642,559.32564043566447,9088,9088,13,472996,0.0017105263157894738,0.11431938544472309,63,1,0,0,0x0000000000000000,-1,-1,64.8714218,0.379904002,0.0983040035,0.0337920003,0.429055989,10.6393595,1.01068795,11.390976,4.24959993,0.428032011,1.86982405,9.87443161,24.4029446,0.0235520005
3,"k32_pair05_o3_E2","K32_E2_B64",109409,40,0.11500201000000006,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4138344,4338075,0.95395861067408927,4138344,4138260,84,0,2.0297974262168637e-05,1.2020612400113058e-10,4138344,3057,0,544.5189473684211,3544.827002000899,6.5100158940887543,0,2000,4500,289000,43.380306941288204,530.74369844556179,9088,9088,9,434500,0.0011842105263157896,0.10499368829657467,54,1,0,0,0x0000000000000000,-1,-1,62.2807045,0.363519996,0.112640001,0.0337920003,0.424959987,9.68806458,1.03219199,11.3725443,3.95264006,0.426016003,1.90976,9.6071682,23.3062401,0.0245760009
3,"k32_pair05_o3_E2","K32_E2_B64",109409,50,0.11500251000000007,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4139201,4338075,0.95415616373621936,4139201,4139115,86,0,2.077695671217706e-05,9.7703940847773024e-11,4139201,3052,0,544.63171052631583,3428.3037378517274,6.2947192967128505,0,2000,4500,273509,40.623491024409127,502.19073681128316,9088,9088,11,455502,0.0014473684210526317,0.11004587600360553,59,1,0,0,0x0000000000000000,-1,-1,60.2234879,0.40448001,0.154624,0.0542719997,0.429055989,8.88627243,1.01068795,11.4483204,4.01715183,0.430079997,1.85446405,9.17504025,22.3098888,0.0245760009
3,"k32_pair05_o3_E2","K32_E2_B64",109409,60,0.11500301000000009,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4139551,4338075,0.95423684468341374,4139552,4139467,85,1,2.0533622962098314e-05,1.0486944337773368e-10,4139551,3061,0,544.67776315789479,3434.1162156146706,6.3048584831232892,0,2000,4500,274000,40.751240492211714,503.04972689067,9088,9088,13,477501,0.0017105263157894738,0.11535091607761325,63,1,0,0,0x0000000000000000,-1,-1,59.4094086,0.376832008,0.0983040035,0.0296960007,0.424959987,8.71731186,1.01171196,11.3868799,4.07552004,0.426016003,1.862656,9.03065586,21.9217911,0.0245760009
3,"k32_pair05_o3_E2","K32_E2_B64",109409,70,0.1150035100000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4139433,4338075,0.95420964367835959,4139933,4139848,85,500,2.0531733243025915e-05,9.0770200039348309e-11,4139433,3065,0,544.66223684210524,3327.5935123473314,6.1094625021928657,0,2000,4500,258005,38.325532065700706,473.69724307652763,9088,9088,13,478001,0.0017105263157894738,0.11547499379745969,63,1,0,0,0x0000000000000000,-1,-1,57.6993294,0.318464011,0.0983040035,0.0296960007,0.428032011,8.4049921,0.999423981,11.4063358,4.02534389,0.429055989,1.88211203,8.76851177,20.8619518,0.0245760009
3,"k32_pair05_o3_E2","K32_E2_B64",109409,80,0.11500401000000011,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4139788,4338075,0.95429147721051388,4139789,4139700,89,1,2.1498680246746874e-05,7.9021152628824791e-11,4139788,3067,0,544.70894736842104,3327.5581361561349,6.1088736512078938,0,2000,4500,258000,38.318337286422071,473.64744281591231,9088,9088,13,478499,0.0017105263157894738,0.11558538746428561,63,1,0,0,0x0000000000000000,-1,-1,58.5062408,0.394239992,0.0983040035,0.0317439996,0.453631997,8.68966389,1.03219199,11.37152,4.06220818,0.425983995,1.94252801,8.67942429,21.2459526,0.0245760009
3,"k32_pair05_o3_E2","K32_E2_B64",109409,90,0.11500451000000013,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4139640,4338075,0.95425736069570033,4139641,4139557,84,1,2.0291614659338817e-05,1.0145088781174745e-10,4139640,3072,0,544.6894736842105,3327.517949675931,6.1090182763566583,0,2000,4500,258000,38.320104300859676,473.66437661245908,9088,9088,13,477500,0.0017105263157894738,0.11534819452899286,63,1,0,0,0x0000000000000000,-1,-1,57.8723831,0.32358399,0.0983040035,0.0337920003,0.427008003,8.56371212,1.03014398,11.3745918,3.98643208,0.431199998,1.89849603,8.60467243,21.0544643,0.0255999994
3,"k32_pair05_o3_E2","K32_E2_B64",109409,100,0.11500501000000014,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4139998,4338075,0.95433988577883044,4140497,4140412,85,499,2.0528936502067264e-05,1.0868195247564418e-10,4139998,3084,0,544.73657894736846,3235.7073693526477,5.9399487649704472,0,2000,4502,241996,36.282991330473948,444.24407934496588,9088,9088,12,465999,0.0015789473684210526,0.11256019930444411,61,1,0,0,0x0000000000000000,-1,-1,56.3281937,0.301055998,0.0983040035,0.0296960007,0.428032011,8.12236786,1.02604795,11.367424,4.10112,0.428032011,1.84217596,8.2114563,20.3253765,0.0255999994
