schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,particle_path,particle_count,particle_capacity,particle_utilisation,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
1,"m32_ppc8_r5","L0",1170867,10,0.0010000000000000002,0.0001,"timing",1,"ok","","",32768,1,262144,327680,0.80000000000000004,262144,32768,8,8,0,0,8,8,8,8,1,0,0,0x0000000000000000,-1,-1,8.16844845,5.17222404,0.515071988,0.00307200011,0.00204799999,0.00307200011,0.996352017,0.721920013,0.274432003,0.00204799999,0.186368003,0.00204799999,0.24064,0.027648
1,"m32_ppc8_r5","L0",1170867,20,0.0020000000000000005,0.0001,"timing",1,"ok","","",32768,1,262144,327680,0.80000000000000004,262144,32768,8,8,0,0,8,8,8,8,1,0,0,0x0000000000000000,-1,-1,8.13055992,5.13535976,0.51404798,0.001024,0.001024,0.00307200011,0.993279994,0.721920013,0.275456011,0.00204799999,0.185343996,0.00204799999,0.242688,0.0286720004
1,"m32_ppc8_r5","L0",1170867,30,0.0029999999999999988,0.0001,"timing",1,"ok","","",32768,1,262144,327680,0.80000000000000004,262144,32768,8,8,0,0,8,8,8,8,1,0,0,0x0000000000000000,-1,-1,5.99244785,3.74067211,0.375808001,0.00204799999,0.00204799999,0.00204799999,0.722944021,0.524287999,0.204799995,0.00204799999,0.139264002,0.00204799999,0.231424004,0.0235520005
1,"m32_ppc8_r5","L0",1170867,40,0.0039999999999999975,0.0001,"timing",1,"ok","","",32768,1,262144,327680,0.80000000000000004,262144,32768,8,8,0,0,8,8,8,8,1,0,0,0x0000000000000000,-1,-1,5.99449587,3.7386241,0.375808001,0.001024,0.001024,0.00307200011,0.723968029,0.523263991,0.205824003,0.00204799999,0.138239995,0.00204799999,0.231424004,0.0255999994
1,"m32_ppc8_r5","L0",1170867,50,0.0050000000000000001,0.0001,"timing",1,"ok","","",32768,1,262144,327680,0.80000000000000004,262144,32768,7,8,0.054126587736527412,0.0067658234670659265,8,8,8,9,1,0,0,0x0000000000000000,-1,-1,6.00063992,3.74271989,0.376832008,0.00204799999,0.00204799999,0.00204799999,0.71884799,0.524287999,0.209920004,0.00204799999,0.139264002,0.001024,0.231424004,0.0245760009
1,"m32_ppc8_r5","L0",1170867,60,0.0060000000000000027,0.0001,"timing",1,"ok","","",32768,1,262144,327680,0.80000000000000004,262144,32768,6,8,0.15388840315306412,0.019236050394133015,8,8,9,10,1,0,0,0x0000000000000000,-1,-1,6.04569578,3.76832008,0.374783993,0.00204799999,0.00204799999,0.00204799999,0.724991977,0.524287999,0.219136,0.00204799999,0.139264002,0.001024,0.232447997,0.0266239997
1,"m32_ppc8_r5","L0",1170867,70,0.0070000000000000053,0.0001,"timing",1,"ok","","",32768,1,262144,327680,0.80000000000000004,262144,32768,6,8,0.21650635094610965,0.027063293868263706,8,8,9,10,1,0,0,0x0000000000000000,-1,-1,6.04467201,3.78060794,0.374783993,0.00307200011,0.00204799999,0.00409599999,0.722944021,0.525312006,0.215039998,0.001024,0.139264002,0.00204799999,0.229376003,0.0245760009
1,"m32_ppc8_r5","L0",1170867,80,0.0080000000000000071,0.0001,"timing",1,"ok","","",32768,1,262144,327680,0.80000000000000004,262144,32768,6,8,0.26836818808308854,0.033546023510386068,8,8,9,10,1,0,0,0x0000000000000000,-1,-1,6.05798388,3.78367996,0.378879994,0.00307200011,0.00204799999,0.00307200011,0.724991977,0.524287999,0.217087999,0.00204799999,0.139264002,0.001024,0.230399996,0.0245760009
1,"m32_ppc8_r5","L0",1170867,90,0.0090000000000000011,0.0001,"timing",1,"ok","","",32768,1,262144,327680,0.80000000000000004,262144,32768,6,8,0.31132591945580118,0.038915739931975148,8,8,9,10,1,0,0,0x0000000000000000,-1,-1,6.06207991,3.78985596,0.377855986,0.001024,0.00204799999,0.00409599999,0.724991977,0.525312006,0.219136,0.00204799999,0.139264002,0.00204799999,0.231424004,0.0255999994
1,"m32_ppc8_r5","L0",1170867,100,0.009999999999999995,0.0001,"timing",1,"ok","","",32768,1,262144,327680,0.80000000000000004,262144,32768,6,8,0.32625957840345471,0.040782447300431839,8,8,9,10,1,0,0,0x0000000000000000,-1,-1,6.06720018,3.79596806,0.375808001,0.00204799999,0.001024,0.00204799999,0.726015985,0.523263991,0.217151999,0.001024,0.138239995,0.00204799999,0.233472005,0.0255999994
